collection_date,sample_size,unrooted_pd,bwpd,pc1,pc2,pc3,pc4,pc5,grouping,test
all,784,0.0170001084742023,7.72660052898343e-05,0.00356751176113651,0.00193654266106689,1.90100884589443e-05,0.000823555110718622,0.0393728529841483,cross_breed,Kruskal-Wallis
t0,126,0.00862139055695129,0.0860112737813127,0.650346550535805,0.221616477260564,0.0755055465052211,0.828109377066907,0.782356341556692,cross_breed,Kruskal-Wallis
t1,48,0.64831773721451,0.238259855008837,0.521574660651667,0.313187254649783,0.312628750853285,0.192050434245643,0.35137479956011,cross_breed,Kruskal-Wallis
t10,72,0.895536291977858,0.103024539385459,0.50071831413793,0.323304560410843,0.119621020049071,0.0911486480171577,0.189728665746434,cross_breed,Kruskal-Wallis
t2,118,0.187981865030468,0.345051654339327,0.311421403422676,0.482085810157472,0.00216377786433786,0.897192137920156,0.216199865419052,cross_breed,Kruskal-Wallis
t3,49,0.0638513639482658,0.741038888816529,0.340241888824863,0.578770412839528,0.202965106235465,0.156155253082007,0.565447148198185,cross_breed,Kruskal-Wallis
t4,108,0.250550036615756,0.109252504919116,0.92978208586846,0.113188903224679,0.15576584530377,0.0221267838970151,0.0381964268861824,cross_breed,Kruskal-Wallis
t5,24,0.502666662809779,0.018919721677054,0.0197840310646837,0.0431934467837939,0.219616153419913,0.00496139387665617,0.331359823546765,cross_breed,Kruskal-Wallis
t6,72,0.986885365607646,0.485796750959046,0.35533757147296,0.351657764797226,0.054599779979647,0.0830595045251441,0.400510753799433,cross_breed,Kruskal-Wallis
t7,48,0.0902244276642667,0.214355237385427,0.0937783887763576,0.366139958655309,0.0748219149816295,0.137380794232739,0.343415686603491,cross_breed,Kruskal-Wallis
t8,72,0.765830342434691,0.907538468822644,0.0270895174514535,0.405109787983953,0.296665869656929,0.35287887776353,0.712570884029026,cross_breed,Kruskal-Wallis
t9,47,0.0245609696925907,0.29340635458415,0.467678956897759,0.425506803653455,0.280362873938301,0.261385550133153,0.218015733814018,cross_breed,Kruskal-Wallis
all,784,0.0791805155874406,2.63079973993843e-05,0.00261030787584614,0.00105910170456542,0.269123335150661,0.00232960471673443,0.313500749389406,line,Kruskal-Wallis
t0,126,0.0105841308207275,0.0580779648089469,0.448701795900664,0.282260677080339,0.0365392250114012,0.758970618953382,0.759037685760868,line,Kruskal-Wallis
t1,48,0.745401311102937,0.176222231097135,0.558607654158221,0.664980076264435,0.18683189597971,0.321715187584829,0.272762271954318,line,Kruskal-Wallis
t10,72,0.747582323184155,0.100802290892567,0.336316051108797,0.285941962733073,0.960217862390697,0.414973958033626,0.612295760837161,line,Kruskal-Wallis
t2,118,0.0915435901496261,0.666104120593115,0.168427374184011,0.357881895725013,0.991861534872211,0.745264633108485,0.167514015839495,line,Kruskal-Wallis
t3,49,0.0408199219353692,0.611951626771771,0.234139840137862,0.467793700495855,0.275686812215297,0.121404680062224,0.361744786113093,line,Kruskal-Wallis
t4,108,0.510299121480186,0.318838446356253,0.894011158256963,0.11004822244954,0.149533170026951,0.11519204663795,0.156838096582892,line,Kruskal-Wallis
t5,24,0.362681308179512,0.00907314890147975,0.027671314655739,0.0275523715156057,0.205616275047312,0.00733816353929628,0.2993233747141,line,Kruskal-Wallis
t6,72,0.990777800272123,0.366306294643115,0.230659416667665,0.331638099530874,0.918132186383407,0.0950208049120144,0.513648299518112,line,Kruskal-Wallis
t7,48,0.125071895050318,0.106623069147218,0.0638016778545756,0.233237675475649,0.271101468724982,0.157291444209564,0.226426671264412,line,Kruskal-Wallis
t8,72,0.584173601418063,0.82228398314476,0.0451598625780289,0.440308734854579,0.52021550779955,0.356975147402625,0.525020476425899,line,Kruskal-Wallis
t9,47,0.598386116282916,0.324910024437485,0.285807036673467,0.322984186865563,0.615675541057125,0.266841132163423,0.651345684209743,line,Kruskal-Wallis
all,784,0.0669843943962602,0.0250727467740761,0.0278889622923407,0.465416313221347,0.00434826292044317,0.0233646934869564,0.137815523317492,birth day,Kruskal-Wallis
t0,126,1.06253952498871e-06,0.00103212753284035,0.324685145508946,0.0556717631961838,0.190686349723004,0.483430168765468,0.015118363566014,birth day,Kruskal-Wallis
t1,48,0.273458876175187,0.570046461010776,0.667086016366045,0.484995185884563,0.19180880059085,0.436834838730151,0.578717791074245,birth day,Kruskal-Wallis
t10,72,0.954600041561489,0.785348289939715,0.922218973097704,0.804481440565652,0.408797791652504,0.166567351041902,0.139787883431815,birth day,Kruskal-Wallis
t2,118,0.236305587627772,0.171847665421225,0.196366184864729,0.0467754302278808,0.0047131177719463,0.602970728931326,0.0320736853479067,birth day,Kruskal-Wallis
t3,49,0.620464475945276,0.744218883792788,0.226771276997467,0.853448968841444,0.897088797126917,0.0232522491406005,0.518651082563597,birth day,Kruskal-Wallis
t4,108,0.377275091923488,0.338405929980944,0.878732592463845,0.280802274253344,0.0274119614286573,0.656458051769027,0.29008330454267,birth day,Kruskal-Wallis
t5,24,0.596193969836058,0.877718738575963,0.732271444228631,0.968929478195743,0.831877218740094,0.565213740393039,0.678155513779026,birth day,Kruskal-Wallis
t6,72,0.381798975417802,0.857545763124427,0.171470712644484,0.457963046125959,0.159187185293884,0.18617059385055,0.199593392557684,birth day,Kruskal-Wallis
t7,48,0.228441530582877,0.737259850476058,0.115541723450461,0.354523376582805,0.00166780958123466,0.335675984724974,0.105832471166087,birth day,Kruskal-Wallis
t8,72,0.579095646409134,0.988015843586438,0.182883395615684,0.616382998753732,0.577301412057274,0.338552484415048,0.822882716527611,birth day,Kruskal-Wallis
t9,47,0.183263760314867,0.230291977735391,0.371525249325012,0.685772514311618,0.551293369816461,0.463979832213196,0.0424251361908614,birth day,Kruskal-Wallis
t0,46,0.000572876677650967,0.00429005133202151,0.794306613107348,0.0266006177943099,0.65535789341633,0.131304016086017,0.00790964112626619,birth day - Duroc x Landrace,Kruskal-Wallis
t1,17,0.0210999923295492,0.374324155717656,0.305252833407988,0.353322613736564,0.130286857094715,0.754415485946466,0.412221638471702,birth day - Duroc x Landrace,Kruskal-Wallis
t10,31,0.894763475473747,0.387435895840087,0.460610578461255,0.748046730629865,0.541675427703744,0.49802186394074,0.375642118188989,birth day - Duroc x Landrace,Kruskal-Wallis
t2,42,0.778420476742166,0.0109160749545462,0.593353572890649,0.00434244304364912,0.0369661207989652,0.392504113489601,0.0189376738748959,birth day - Duroc x Landrace,Kruskal-Wallis
t3,18,0.172870819534167,0.409075469129231,0.0125940661590281,0.870035837172077,0.197652904577466,0.203592254122996,0.312144006834134,birth day - Duroc x Landrace,Kruskal-Wallis
t4,38,0.328541200857318,0.953416514023812,0.991999645559961,0.727276784844761,0.401984049281061,0.957351642005774,0.234276025295642,birth day - Duroc x Landrace,Kruskal-Wallis
t5,6,0.437805043460767,0.801251956901201,0.299780588595712,0.299780588595712,0.218750730041552,0.299780588595712,0.218750730041552,birth day - Duroc x Landrace,Kruskal-Wallis
t6,31,0.049913343260085,0.507260652407513,0.529153055954834,0.156526590900448,0.275773123574938,0.645568885836326,0.032766760094557,birth day - Duroc x Landrace,Kruskal-Wallis
t7,17,0.077785278559076,0.985645896794771,0.0601667897692975,0.733172243800814,0.0190842451705279,0.493634622711727,0.0906471611616209,birth day - Duroc x Landrace,Kruskal-Wallis
t8,31,0.59199805794541,0.749164826359349,0.333900200157274,0.0854962141671621,0.691606245270567,0.0782888307100799,0.840856664509338,birth day - Duroc x Landrace,Kruskal-Wallis
t9,17,0.251274548226258,0.407301567035947,0.816271301739129,0.935340106744639,0.228394412477132,0.411906115292684,0.424684811680997,birth day - Duroc x Landrace,Kruskal-Wallis
t0,59,0.0370108145110229,0.147111862176226,0.373982503601922,0.401029586126736,0.874437548476441,0.92919066262343,0.0765098730308391,birth day - Duroc x Large white,Kruskal-Wallis
t1,24,0.218459784013264,0.777457278307335,0.302193128087455,0.202292920908451,0.0480215473125477,0.243843461737326,0.0977973429791765,birth day - Duroc x Large white,Kruskal-Wallis
t10,33,0.987346047022175,0.265307065710434,0.352104113319491,0.335401222988617,0.513591739747784,0.361984849239173,0.454171129925575,birth day - Duroc x Large white,Kruskal-Wallis
t2,56,0.216392898150212,0.553733031022716,0.1900472539438,0.63686924344251,0.226182069887567,0.359774033789348,0.659266154003043,birth day - Duroc x Large white,Kruskal-Wallis
t3,24,0.420711653630513,0.745400801563752,0.50589417816265,0.259006525798292,0.454935171525528,0.0894186863567889,0.133335328960696,birth day - Duroc x Large white,Kruskal-Wallis
t4,51,0.293806849872597,0.0808441168200887,0.247574540590751,0.0798620289930673,0.437498628445929,0.913075060716765,0.573003442370742,birth day - Duroc x Large white,Kruskal-Wallis
t5,11,0.307643223500874,0.454310951707332,0.945203601819641,0.874628530793695,0.64504829012629,0.787324049701459,0.376011107043165,birth day - Duroc x Large white,Kruskal-Wallis
t6,33,0.909097385944778,0.808511963328548,0.695634912882468,0.244971034463963,0.651407164413244,0.0633085533200033,0.474352231410006,birth day - Duroc x Large white,Kruskal-Wallis
t7,24,0.611521316252404,0.680439803591366,0.594838099675352,0.333773319746874,0.154075395020834,0.571221530609373,0.477993612153443,birth day - Duroc x Large white,Kruskal-Wallis
t8,33,0.726510430251563,0.658050043522255,0.563117683798726,0.84995017785016,0.553693860812905,0.224571486477174,0.58605117299379,birth day - Duroc x Large white,Kruskal-Wallis
t9,23,0.516134883393641,0.260125860060265,0.231955985891057,0.525089423673354,0.343226012137177,0.453438814577716,0.307905618527279,birth day - Duroc x Large white,Kruskal-Wallis
all,784,0.000801681362849905,8.23268463084479e-05,8.06283852198947e-06,9.24131200951835e-07,9.67425547277363e-06,4.01111169501628e-07,0.0135165728003919,maternal_sow,Kruskal-Wallis
t0,126,9.32737400642352e-05,0.00154705018749209,0.0120158980800975,0.0367932508851083,0.0314536921228848,0.506636932227401,0.017109930369609,maternal_sow,Kruskal-Wallis
t1,48,0.24597250729741,0.191029673749089,0.445768289581015,0.124409724711804,0.16911028690306,0.592663770542691,0.222911377763776,maternal_sow,Kruskal-Wallis
t10,72,0.581924880498691,0.313700465462974,0.273370735828953,0.2868852448159,0.329394770415564,0.0298148904851358,0.0753484455185331,maternal_sow,Kruskal-Wallis
t2,118,0.3134286672376,0.13317990188964,0.0277854440195399,0.0447035972966692,0.0130322931926186,0.277569307788284,0.23834356572771,maternal_sow,Kruskal-Wallis
t3,49,0.525669101235126,0.285943752639163,0.0845241070736925,0.575475958272496,0.315744489944511,0.159749786117729,0.115506988156017,maternal_sow,Kruskal-Wallis
t4,108,0.161925317365735,0.331463132925563,0.438073146089357,0.417290441379396,0.182871073243791,0.43358324692483,0.27716615268208,maternal_sow,Kruskal-Wallis
t5,24,0.325669771274766,0.45053334340928,0.3145588465889,0.334302193866778,0.286337531263407,0.402845528091489,0.201141673203111,maternal_sow,Kruskal-Wallis
t6,72,0.136785090441351,0.667934149687987,0.272877903640712,0.290737129788789,0.503134434574541,0.207625355202686,0.188469938066565,maternal_sow,Kruskal-Wallis
t7,48,0.277294296081571,0.474345520569012,0.210538151492558,0.139735169207361,0.173504134626376,0.494407668041644,0.430523724282005,maternal_sow,Kruskal-Wallis
t8,72,0.739824312388781,0.661485946987497,0.320058788574698,0.0983220805557351,0.603156347041517,0.0633558296408581,0.871239332197523,maternal_sow,Kruskal-Wallis
t9,47,0.140049357053531,0.336624423045165,0.268925184874828,0.451194893685167,0.490982331058828,0.625093038591294,0.40395588042687,maternal_sow,Kruskal-Wallis
all,784,7.30634960390733e-05,3.25117204202023e-05,6.79600364666783e-06,8.76786057275882e-07,1.02041001386016e-05,1.75400999489696e-07,0.00499160563621015,nurse_sow,Kruskal-Wallis
t0,126,0.000137401144286306,0.00253910740621183,0.00606126621394051,0.0925531725296094,0.0254021004344805,0.301655744834175,0.0163326607096622,nurse_sow,Kruskal-Wallis
t1,48,0.21406609837565,0.177946665285619,0.406954977560948,0.132471961236576,0.118330132459629,0.501269004658169,0.171644711069485,nurse_sow,Kruskal-Wallis
t10,72,0.513827384736056,0.171089575432484,0.197751462860318,0.205507616545755,0.259200327786332,0.0665918835103026,0.0723552473297778,nurse_sow,Kruskal-Wallis
t2,118,0.0590678657690292,0.182453592390225,0.133341187755685,0.0383654238277938,0.0973821306135565,0.111447364459128,0.239883664748087,nurse_sow,Kruskal-Wallis
t3,49,0.494688049333285,0.312347101568539,0.0630430654077244,0.694272044609732,0.244996290250149,0.0883999550163223,0.115806472599034,nurse_sow,Kruskal-Wallis
t4,108,0.293546724652102,0.628156439457791,0.620602379363175,0.432865606730669,0.357911695414789,0.434782783128704,0.26804874241101,nurse_sow,Kruskal-Wallis
t5,24,0.242338268265416,0.45053334340928,0.451208772571118,0.447611206965064,0.383393135315484,0.407353068785983,0.336821158562202,nurse_sow,Kruskal-Wallis
t6,72,0.142627723336923,0.763339104474481,0.185781890404936,0.263587342923099,0.372637543552375,0.0985516006793823,0.223593968121609,nurse_sow,Kruskal-Wallis
t7,48,0.227140285638606,0.40466355866188,0.15106853881299,0.0960720387322825,0.0850568767171667,0.368268743975756,0.239229130517691,nurse_sow,Kruskal-Wallis
t8,72,0.782355223682344,0.616665426405966,0.354553110805705,0.0617455792888771,0.638728298417746,0.150359242138387,0.886200530409757,nurse_sow,Kruskal-Wallis
t9,47,0.179442571366364,0.336016540428543,0.342876418102942,0.434800442983526,0.407807870907756,0.526442330736904,0.349021069246504,nurse_sow,Kruskal-Wallis
all,784,0.271448443231522,0.00221054616354697,0.0121365319301873,0.0553486602947892,0.457477648520481,0.215084536662224,0.0340239137761438,cohorts,Kruskal-Wallis
